2026-01-07 11:25:36 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 11:25:36 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 11:25:36 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 11:25:36 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 11:25:37 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 11:25:37 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 11:25:37 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 11:30:37 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 11:30:37 | INFO     | ITAM-Agent | CICLO #4 - 2026-01-07 11:30:37
2026-01-07 11:30:37 | INFO     | ITAM-Agent | ============================================================
2026-01-07 11:30:37 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 11:30:37 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 11:30:40 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 11:30:40 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 11:30:40 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 11:30:40 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 11:30:40 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 11:30:40 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 11:30:40 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 11:30:40 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 11:30:40 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 11:35:41 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 11:35:41 | INFO     | ITAM-Agent | CICLO #5 - 2026-01-07 11:35:41
2026-01-07 11:35:41 | INFO     | ITAM-Agent | ============================================================
2026-01-07 11:35:41 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 11:35:41 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
